TemplateId,Stage,UpgradeName,Price,CurrentValue,NextValue,OriginalTemplateId,NextTempalteId,StatType
100047,1,AttackLevel47,22300,2360,2460,100001,100048,Str
100048,1,AttackLevel48,23200,2460,2560,100001,100049,Str
100049,1,AttackLevel49,24100,2560,2660,100001,100050,Str
100050,1,AttackLevel50,25000,2660,2760,100001,100051,Str
100051,1,AttackLevel51,26100,2760,2870,100001,100052,Str
100052,1,AttackLevel52,27200,2870,2980,100001,100053,Str
100053,1,AttackLevel53,28300,2980,3090,100001,100054,Str
100054,1,AttackLevel54,29400,3090,3200,100001,100055,Str
100055,1,AttackLevel55,30500,3200,3310,100001,100056,Str
100056,1,AttackLevel56,31600,3310,3430,100001,100057,Str
100057,1,AttackLevel57,32700,3430,3550,100001,100058,Str
100058,1,AttackLevel58,33800,3550,3670,100001,100059,Str
100059,1,AttackLevel59,34900,3670,3790,100001,100060,Str
100060,1,AttackLevel60,36000,3790,3910,100001,100061,Str
100061,1,AttackLevel61,37300,3910,4040,100001,100062,Str
100062,1,AttackLevel62,38600,4040,4170,100001,100063,Str
100063,1,AttackLevel63,39900,4170,4300,100001,100064,Str
100064,1,AttackLevel64,41200,4300,4430,100001,100065,Str
100065,1,AttackLevel65,42500,4430,4560,100001,100066,Str
100066,1,AttackLevel66,43800,4560,4700,100001,100067,Str
100067,1,AttackLevel67,45100,4700,4840,100001,100068,Str
100068,1,AttackLevel68,46400,4840,4980,100001,100069,Str
100069,1,AttackLevel69,47700,4980,5120,100001,100070,Str
100070,1,AttackLevel70,49000,5120,5260,100001,100071,Str
100071,1,AttackLevel71,50500,5260,5410,100001,100072,Str
100072,1,AttackLevel72,52000,5410,5560,100001,100073,Str
100073,1,AttackLevel73,53500,5560,5710,100001,100074,Str
100074,1,AttackLevel74,55000,5710,5860,100001,100075,Str
100075,1,AttackLevel75,56500,5860,6010,100001,100076,Str
100076,1,AttackLevel76,58000,6010,6170,100001,100077,Str
100077,1,AttackLevel77,59500,6170,6330,100001,100078,Str
100078,1,AttackLevel78,61000,6330,6490,100001,100079,Str
100079,1,AttackLevel79,62500,6490,6650,100001,100080,Str
100080,1,AttackLevel80,64000,6650,6810,100001,100081,Str
100081,1,AttackLevel81,65700,6810,6980,100001,100082,Str
100082,1,AttackLevel82,67400,6980,7150,100001,100083,Str
100083,1,AttackLevel83,69100,7150,7320,100001,100084,Str
100084,1,AttackLevel84,70800,7320,7490,100001,100085,Str
100085,1,AttackLevel85,72500,7490,7660,100001,100086,Str
100086,1,AttackLevel86,74200,7660,7840,100001,100087,Str
100087,1,AttackLevel87,75900,7840,8020,100001,100088,Str
100088,1,AttackLevel88,77600,8020,8200,100001,100089,Str
100089,1,AttackLevel89,79300,8200,8380,100001,100090,Str
100090,1,AttackLevel90,81000,8380,8560,100001,100091,Str
100091,1,AttackLevel91,82900,8560,8750,100001,100092,Str
100092,1,AttackLevel92,84800,8750,8940,100001,100093,Str
100093,1,AttackLevel93,86700,8940,9130,100001,100094,Str
100094,1,AttackLevel94,88600,9130,9320,100001,100095,Str
100095,1,AttackLevel95,90500,9320,9510,100001,100096,Str
100096,1,AttackLevel96,92400,9510,9710,100001,100097,Str
100097,1,AttackLevel97,94300,9710,9910,100001,100098,Str
100098,1,AttackLevel98,96200,9910,10110,100001,100099,Str
100099,1,AttackLevel99,98100,10110,10310,100001,100100,Str
100100,1,AttackLevel100,100000,10310,10510,100001,100101,Str
100101,1,AttackLevel101,106900,10510,10720,100001,100102,Str
100102,1,AttackLevel102,113800,10720,10930,100001,100103,Str
100103,1,AttackLevel103,120700,10930,11140,100001,100104,Str
100104,1,AttackLevel104,127600,11140,11350,100001,100105,Str
100105,1,AttackLevel105,134500,11350,11560,100001,100106,Str
100106,1,AttackLevel106,141400,11560,11780,100001,100107,Str
100107,1,AttackLevel107,148300,11780,12000,100001,100108,Str
100108,1,AttackLevel108,155200,12000,12220,100001,100109,Str
100109,1,AttackLevel109,162100,12220,12440,100001,100110,Str
100110,1,AttackLevel110,169000,12440,12660,100001,100111,Str
100111,1,AttackLevel111,180900,12660,12890,100001,100112,Str
100112,1,AttackLevel112,192800,12890,13120,100001,100113,Str
100113,1,AttackLevel113,204700,13120,13350,100001,100114,Str
100114,1,AttackLevel114,216600,13350,13580,100001,100115,Str
100115,1,AttackLevel115,228500,13580,13810,100001,100116,Str
100116,1,AttackLevel116,240400,13810,14050,100001,100117,Str
100117,1,AttackLevel117,252300,14050,14290,100001,100118,Str
100118,1,AttackLevel118,264200,14290,14530,100001,100119,Str
100119,1,AttackLevel119,276100,14530,14770,100001,100120,Str
100120,1,AttackLevel120,288000,14770,15010,100001,100121,Str
100121,1,AttackLevel121,304900,15010,15260,100001,100122,Str
100122,1,AttackLevel122,321800,15260,15510,100001,100123,Str
100123,1,AttackLevel123,338700,15510,15760,100001,100124,Str
100124,1,AttackLevel124,355600,15760,16010,100001,100125,Str
100125,1,AttackLevel125,372500,16010,16260,100001,100126,Str
100126,1,AttackLevel126,389400,16260,16520,100001,100127,Str
100127,1,AttackLevel127,406300,16520,16780,100001,100128,Str
100128,1,AttackLevel128,423200,16780,17040,100001,100129,Str
100129,1,AttackLevel129,440100,17040,17300,100001,100130,Str
100130,1,AttackLevel130,457000,17300,17560,100001,100131,Str
100131,1,AttackLevel131,478900,17560,17830,100001,100132,Str
100132,1,AttackLevel132,500800,17830,18100,100001,100133,Str
100133,1,AttackLevel133,522700,18100,18370,100001,100134,Str
100134,1,AttackLevel134,544600,18370,18640,100001,100135,Str
100135,1,AttackLevel135,566500,18640,18910,100001,100136,Str
100136,1,AttackLevel136,588400,18910,19190,100001,100137,Str
100137,1,AttackLevel137,610300,19190,19470,100001,100138,Str
100138,1,AttackLevel138,632200,19470,19750,100001,100139,Str
100139,1,AttackLevel139,654100,19750,20030,100001,100140,Str
100140,1,AttackLevel140,676000,20030,20310,100001,100141,Str
100141,1,AttackLevel141,702900,20310,20600,100001,100142,Str
100142,1,AttackLevel142,729800,20600,20890,100001,100143,Str
100143,1,AttackLevel143,756700,20890,21180,100001,100144,Str
100144,1,AttackLevel144,783600,21180,21470,100001,100145,Str
100145,1,AttackLevel145,810500,21470,21760,100001,100146,Str
100146,1,AttackLevel146,837400,21760,22060,100001,100147,Str
100147,1,AttackLevel147,864300,22060,22360,100001,100148,Str
100148,1,AttackLevel148,891200,22360,22660,100001,100149,Str
100149,1,AttackLevel149,918100,22660,22960,100001,100150,Str
100150,1,AttackLevel150,945000,22960,23260,100001,100151,Str
100151,1,AttackLevel151,976900,23260,23570,100001,100152,Str
100152,1,AttackLevel152,1008800,23570,23880,100001,100153,Str
100153,1,AttackLevel153,1040700,23880,24190,100001,100154,Str
100154,1,AttackLevel154,1072600,24190,24500,100001,100155,Str
100155,1,AttackLevel155,1104500,24500,24810,100001,100156,Str
100156,1,AttackLevel156,1136400,24810,25130,100001,100157,Str
100157,1,AttackLevel157,1168300,25130,25450,100001,100158,Str
100158,1,AttackLevel158,1200200,25450,25770,100001,100159,Str
100159,1,AttackLevel159,1232100,25770,26090,100001,100160,Str
100160,1,AttackLevel160,1264000,26090,26410,100001,100161,Str
100161,1,AttackLevel161,1300900,26410,26740,100001,100162,Str
100162,1,AttackLevel162,1337800,26740,27070,100001,100163,Str
100163,1,AttackLevel163,1374700,27070,27400,100001,100164,Str
100164,1,AttackLevel164,1411600,27400,27730,100001,100165,Str
100165,1,AttackLevel165,1448500,27730,28060,100001,100166,Str
100166,1,AttackLevel166,1485400,28060,28400,100001,100167,Str
100167,1,AttackLevel167,1522300,28400,28740,100001,100168,Str
100168,1,AttackLevel168,1559200,28740,29080,100001,100169,Str
100169,1,AttackLevel169,1596100,29080,29420,100001,100170,Str
100170,1,AttackLevel170,1633000,29420,29760,100001,100171,Str
100171,1,AttackLevel171,1674900,29760,30110,100001,100172,Str
100172,1,AttackLevel172,1716800,30110,30460,100001,100173,Str
100173,1,AttackLevel173,1758700,30460,30810,100001,100174,Str
100174,1,AttackLevel174,1800600,30810,31160,100001,100175,Str
100175,1,AttackLevel175,1842500,31160,31510,100001,100176,Str
100176,1,AttackLevel176,1884400,31510,31870,100001,100177,Str
100177,1,AttackLevel177,1926300,31870,32230,100001,100178,Str
100178,1,AttackLevel178,1968200,32230,32590,100001,100179,Str
100179,1,AttackLevel179,2010100,32590,32950,100001,100180,Str
100180,1,AttackLevel180,2052000,32950,33310,100001,100181,Str
100181,1,AttackLevel181,2098900,33310,33680,100001,100182,Str
100182,1,AttackLevel182,2145800,33680,34050,100001,100183,Str
100183,1,AttackLevel183,2192700,34050,34420,100001,100184,Str
100184,1,AttackLevel184,2239600,34420,34790,100001,100185,Str
100185,1,AttackLevel185,2286500,34790,35160,100001,100186,Str
100186,1,AttackLevel186,2333400,35160,35540,100001,100187,Str
100187,1,AttackLevel187,2380300,35540,35920,100001,100188,Str
100188,1,AttackLevel188,2427200,35920,36300,100001,100189,Str
100189,1,AttackLevel189,2474100,36300,36680,100001,100190,Str
100190,1,AttackLevel190,2521000,36680,37060,100001,100191,Str
100191,1,AttackLevel191,2572900,37060,37450,100001,100192,Str
100192,1,AttackLevel192,2624800,37450,37840,100001,100193,Str
100193,1,AttackLevel193,2676700,37840,38230,100001,100194,Str
100194,1,AttackLevel194,2728600,38230,38620,100001,100195,Str
100195,1,AttackLevel195,2780500,38620,39010,100001,100196,Str
100196,1,AttackLevel196,2832400,39010,39410,100001,100197,Str
100197,1,AttackLevel197,2884300,39410,39810,100001,100198,Str
100198,1,AttackLevel198,2936200,39810,40210,100001,100199,Str
100199,1,AttackLevel199,2988100,40210,40610,100001,100200,Str
100200,1,AttackLevel200,3040000,40610,41010,100001,100201,Str
100201,1,AttackLevel201,3096900,41010,41420,100001,100202,Str
100202,1,AttackLevel202,3153800,41420,41830,100001,100203,Str
100203,1,AttackLevel203,3210700,41830,42240,100001,100204,Str
100204,1,AttackLevel204,3267600,42240,42650,100001,100205,Str
100205,1,AttackLevel205,3324500,42650,43060,100001,100206,Str
100206,1,AttackLevel206,3381400,43060,43480,100001,100207,Str
100207,1,AttackLevel207,3438300,43480,43900,100001,100208,Str
100208,1,AttackLevel208,3495200,43900,44320,100001,100209,Str
100209,1,AttackLevel209,3552100,44320,44740,100001,100210,Str
100210,1,AttackLevel210,3609000,44740,45160,100001,100211,Str
100211,1,AttackLevel211,3670900,45160,45590,100001,100212,Str
100212,1,AttackLevel212,3732800,45590,46020,100001,100213,Str
100213,1,AttackLevel213,3794700,46020,46450,100001,100214,Str
100214,1,AttackLevel214,3856600,46450,46880,100001,100215,Str
100215,1,AttackLevel215,3918500,46880,47310,100001,100216,Str
100216,1,AttackLevel216,3980400,47310,47750,100001,100217,Str
100217,1,AttackLevel217,4042300,47750,48190,100001,100218,Str
100218,1,AttackLevel218,4104200,48190,48630,100001,100219,Str
100219,1,AttackLevel219,4166100,48630,49070,100001,100220,Str
100220,1,AttackLevel220,4228000,49070,49510,100001,100221,Str
100221,1,AttackLevel221,4294900,49510,49960,100001,100222,Str
100222,1,AttackLevel222,4361800,49960,50410,100001,100223,Str
100223,1,AttackLevel223,4428700,50410,50860,100001,100224,Str
100224,1,AttackLevel224,4495600,50860,51310,100001,100225,Str
100225,1,AttackLevel225,4562500,51310,51760,100001,100226,Str
100226,1,AttackLevel226,4629400,51760,52220,100001,100227,Str
100227,1,AttackLevel227,4696300,52220,52680,100001,100228,Str
100228,1,AttackLevel228,4763200,52680,53140,100001,100229,Str
100229,1,AttackLevel229,4830100,53140,53600,100001,100230,Str
100230,1,AttackLevel230,4897000,53600,54060,100001,100231,Str
100231,1,AttackLevel231,4968900,54060,54530,100001,100232,Str
100232,1,AttackLevel232,5040800,54530,55000,100001,100233,Str
100233,1,AttackLevel233,5112700,55000,55470,100001,100234,Str
100234,1,AttackLevel234,5184600,55470,55940,100001,100235,Str
100235,1,AttackLevel235,5256500,55940,56410,100001,100236,Str
100236,1,AttackLevel236,5328400,56410,56890,100001,100237,Str
100237,1,AttackLevel237,5400300,56890,57370,100001,100238,Str
100238,1,AttackLevel238,5472200,57370,57850,100001,100239,Str
100239,1,AttackLevel239,5544100,57850,58330,100001,100240,Str
100240,1,AttackLevel240,5616000,58330,58810,100001,100241,Str
100241,1,AttackLevel241,5692900,58810,59300,100001,100242,Str
100242,1,AttackLevel242,5769800,59300,59790,100001,100243,Str
100243,1,AttackLevel243,5846700,59790,60280,100001,100244,Str
100244,1,AttackLevel244,5923600,60280,60770,100001,100245,Str
100245,1,AttackLevel245,6000500,60770,61260,100001,100246,Str
100246,1,AttackLevel246,6077400,61260,61760,100001,100247,Str
100247,1,AttackLevel247,6154300,61760,62260,100001,100248,Str
100248,1,AttackLevel248,6231200,62260,62760,100001,100249,Str
100249,1,AttackLevel249,6308100,62760,63260,100001,100250,Str
100250,1,AttackLevel250,6385000,63260,63760,100001,100251,Str
100251,1,AttackLevel251,6466900,63760,64270,100001,100252,Str
100252,1,AttackLevel252,6548800,64270,64780,100001,100253,Str
100253,1,AttackLevel253,6630700,64780,65290,100001,100254,Str
100254,1,AttackLevel254,6712600,65290,65800,100001,100255,Str
100255,1,AttackLevel255,6794500,65800,66310,100001,100256,Str
100256,1,AttackLevel256,6876400,66310,66830,100001,100257,Str
100257,1,AttackLevel257,6958300,66830,67350,100001,100258,Str
100258,1,AttackLevel258,7040200,67350,67870,100001,100259,Str
100259,1,AttackLevel259,7122100,67870,68390,100001,100260,Str
100260,1,AttackLevel260,7204000,68390,68910,100001,100261,Str
100261,1,AttackLevel261,7290900,68910,69440,100001,100262,Str
100262,1,AttackLevel262,7377800,69440,69970,100001,100263,Str
100263,1,AttackLevel263,7464700,69970,70500,100001,100264,Str
100264,1,AttackLevel264,7551600,70500,71030,100001,100265,Str
100265,1,AttackLevel265,7638500,71030,71560,100001,100266,Str
100266,1,AttackLevel266,7725400,71560,72100,100001,100267,Str
100267,1,AttackLevel267,7812300,72100,72640,100001,100268,Str
100268,1,AttackLevel268,7899200,72640,73180,100001,100269,Str
100269,1,AttackLevel269,7986100,73180,73720,100001,100270,Str
100270,1,AttackLevel270,8073000,73720,74260,100001,100271,Str
100271,1,AttackLevel271,8164900,74260,74810,100001,100272,Str
100272,1,AttackLevel272,8256800,74810,75360,100001,100273,Str
100273,1,AttackLevel273,8348700,75360,75910,100001,100274,Str
100274,1,AttackLevel274,8440600,75910,76460,100001,100275,Str
100275,1,AttackLevel275,8532500,76460,77010,100001,100276,Str
100276,1,AttackLevel276,8624400,77010,77570,100001,100277,Str
100277,1,AttackLevel277,8716300,77570,78130,100001,100278,Str
100278,1,AttackLevel278,8808200,78130,78690,100001,100279,Str
100279,1,AttackLevel279,8900100,78690,79250,100001,100280,Str
100280,1,AttackLevel280,8992000,79250,79810,100001,100281,Str
100281,1,AttackLevel281,9088900,79810,80380,100001,100282,Str
100282,1,AttackLevel282,9185800,80380,80950,100001,100283,Str
100283,1,AttackLevel283,9282700,80950,81520,100001,100284,Str
100284,1,AttackLevel284,9379600,81520,82090,100001,100285,Str
100285,1,AttackLevel285,9476500,82090,82660,100001,100286,Str
100286,1,AttackLevel286,9573400,82660,83240,100001,100287,Str
100287,1,AttackLevel287,9670300,83240,83820,100001,100288,Str
100288,1,AttackLevel288,9767200,83820,84400,100001,100289,Str
100289,1,AttackLevel289,9864100,84400,84980,100001,100290,Str
100290,1,AttackLevel290,9961000,84980,85560,100001,100291,Str
100291,1,AttackLevel291,10062900,85560,86150,100001,100292,Str
100292,1,AttackLevel292,10164800,86150,86740,100001,100293,Str
100293,1,AttackLevel293,10266700,86740,87330,100001,100294,Str
100294,1,AttackLevel294,10368600,87330,87920,100001,100295,Str
100295,1,AttackLevel295,10470500,87920,88510,100001,100296,Str
100296,1,AttackLevel296,10572400,88510,89110,100001,100297,Str
100297,1,AttackLevel297,10674300,89110,89710,100001,100298,Str
100298,1,AttackLevel298,10776200,89710,90310,100001,100299,Str
100299,1,AttackLevel299,10878100,90310,90910,100001,100300,Str
100300,1,AttackLevel300,10980000,90910,91510,100001,100301,Str
100301,1,AttackLevel301,11101900,91510,92120,100001,100302,Str
100302,1,AttackLevel302,11223800,92120,92730,100001,100303,Str
100303,1,AttackLevel303,11345700,92730,93340,100001,100304,Str
100304,1,AttackLevel304,11467600,93340,93950,100001,100305,Str
100305,1,AttackLevel305,11589500,93950,94560,100001,100306,Str
100306,1,AttackLevel306,11711400,94560,95180,100001,100307,Str
100307,1,AttackLevel307,11833300,95180,95800,100001,100308,Str
100308,1,AttackLevel308,11955200,95800,96420,100001,100309,Str
100309,1,AttackLevel309,12077100,96420,97040,100001,100310,Str
100310,1,AttackLevel310,12199000,97040,97660,100001,100311,Str
100311,1,AttackLevel311,12340900,97660,98290,100001,100312,Str
100312,1,AttackLevel312,12482800,98290,98920,100001,100313,Str
100313,1,AttackLevel313,12624700,98920,99550,100001,100314,Str
100314,1,AttackLevel314,12766600,99550,100180,100001,100315,Str
100315,1,AttackLevel315,12908500,100180,100810,100001,100316,Str
100316,1,AttackLevel316,13050400,100810,101450,100001,100317,Str
100317,1,AttackLevel317,13192300,101450,102090,100001,100318,Str
100318,1,AttackLevel318,13334200,102090,102730,100001,100319,Str
100319,1,AttackLevel319,13476100,102730,103370,100001,100320,Str
100320,1,AttackLevel320,13618000,103370,104010,100001,100321,Str
100321,1,AttackLevel321,13779900,104010,104660,100001,100322,Str
100322,1,AttackLevel322,13941800,104660,105310,100001,100323,Str
100323,1,AttackLevel323,14103700,105310,105960,100001,100324,Str
100324,1,AttackLevel324,14265600,105960,106610,100001,100325,Str
100325,1,AttackLevel325,14427500,106610,107260,100001,100326,Str
100326,1,AttackLevel326,14589400,107260,107920,100001,100327,Str
100327,1,AttackLevel327,14751300,107920,108580,100001,100328,Str
100328,1,AttackLevel328,14913200,108580,109240,100001,100329,Str
100329,1,AttackLevel329,15075100,109240,109900,100001,100330,Str
100330,1,AttackLevel330,15237000,109900,110560,100001,100331,Str
100331,1,AttackLevel331,15418900,110560,111230,100001,100332,Str
100332,1,AttackLevel332,15600800,111230,111900,100001,100333,Str
100333,1,AttackLevel333,15782700,111900,112570,100001,100334,Str
100334,1,AttackLevel334,15964600,112570,113240,100001,100335,Str
100335,1,AttackLevel335,16146500,113240,113910,100001,100336,Str
100336,1,AttackLevel336,16328400,113910,114590,100001,100337,Str
100337,1,AttackLevel337,16510300,114590,115270,100001,100338,Str
100338,1,AttackLevel338,16692200,115270,115950,100001,100339,Str
100339,1,AttackLevel339,16874100,115950,116630,100001,100340,Str
100340,1,AttackLevel340,17056000,116630,117310,100001,100341,Str
100341,1,AttackLevel341,17257900,117310,118000,100001,100342,Str
100342,1,AttackLevel342,17459800,118000,118690,100001,100343,Str
100343,1,AttackLevel343,17661700,118690,119380,100001,100344,Str
100344,1,AttackLevel344,17863600,119380,120070,100001,100345,Str
100345,1,AttackLevel345,18065500,120070,120760,100001,100346,Str
100346,1,AttackLevel346,18267400,120760,121460,100001,100347,Str
100347,1,AttackLevel347,18469300,121460,122160,100001,100348,Str
100348,1,AttackLevel348,18671200,122160,122860,100001,100349,Str
100349,1,AttackLevel349,18873100,122860,123560,100001,100350,Str
100350,1,AttackLevel350,19075000,123560,124260,100001,100351,Str
100351,1,AttackLevel351,19296900,124260,124970,100001,100352,Str
100352,1,AttackLevel352,19518800,124970,125680,100001,100353,Str
100353,1,AttackLevel353,19740700,125680,126390,100001,100354,Str
100354,1,AttackLevel354,19962600,126390,127100,100001,100355,Str
100355,1,AttackLevel355,20184500,127100,127810,100001,100356,Str
100356,1,AttackLevel356,20406400,127810,128530,100001,100357,Str
100357,1,AttackLevel357,20628300,128530,129250,100001,100358,Str
100358,1,AttackLevel358,20850200,129250,129970,100001,100359,Str
100359,1,AttackLevel359,21072100,129970,130690,100001,100360,Str
100360,1,AttackLevel360,21294000,130690,131410,100001,100361,Str
100361,1,AttackLevel361,21535900,131410,132140,100001,100362,Str
100362,1,AttackLevel362,21777800,132140,132870,100001,100363,Str
100363,1,AttackLevel363,22019700,132870,133600,100001,100364,Str
100364,1,AttackLevel364,22261600,133600,134330,100001,100365,Str
100365,1,AttackLevel365,22503500,134330,135060,100001,100366,Str
100366,1,AttackLevel366,22745400,135060,135800,100001,100367,Str
100367,1,AttackLevel367,22987300,135800,136540,100001,100368,Str
100368,1,AttackLevel368,23229200,136540,137280,100001,100369,Str
100369,1,AttackLevel369,23471100,137280,138020,100001,100370,Str
100370,1,AttackLevel370,23713000,138020,138760,100001,100371,Str
100371,1,AttackLevel371,23974900,138760,139510,100001,100372,Str
100372,1,AttackLevel372,24236800,139510,140260,100001,100373,Str
100373,1,AttackLevel373,24498700,140260,141010,100001,100374,Str
100374,1,AttackLevel374,24760600,141010,141760,100001,100375,Str
100375,1,AttackLevel375,25022500,141760,142510,100001,100376,Str
100376,1,AttackLevel376,25284400,142510,143270,100001,100377,Str
100377,1,AttackLevel377,25546300,143270,144030,100001,100378,Str
100378,1,AttackLevel378,25808200,144030,144790,100001,100379,Str
100379,1,AttackLevel379,26070100,144790,145550,100001,100380,Str
100380,1,AttackLevel380,26332000,145550,146310,100001,100381,Str
100381,1,AttackLevel381,26613900,146310,147080,100001,100382,Str
100382,1,AttackLevel382,26895800,147080,147850,100001,100383,Str
100383,1,AttackLevel383,27177700,147850,148620,100001,100384,Str
100384,1,AttackLevel384,27459600,148620,149390,100001,100385,Str
100385,1,AttackLevel385,27741500,149390,150160,100001,100386,Str
100386,1,AttackLevel386,28023400,150160,150940,100001,100387,Str
100387,1,AttackLevel387,28305300,150940,151720,100001,100388,Str
100388,1,AttackLevel388,28587200,151720,152500,100001,100389,Str
100389,1,AttackLevel389,28869100,152500,153280,100001,100390,Str
100390,1,AttackLevel390,29151000,153280,154060,100001,100391,Str
100391,1,AttackLevel391,29452900,154060,154850,100001,100392,Str
100392,1,AttackLevel392,29754800,154850,155640,100001,100393,Str
100393,1,AttackLevel393,30056700,155640,156430,100001,100394,Str
100394,1,AttackLevel394,30358600,156430,157220,100001,100395,Str
100395,1,AttackLevel395,30660500,157220,158010,100001,100396,Str
100396,1,AttackLevel396,30962400,158010,158810,100001,100397,Str
100397,1,AttackLevel397,31264300,158810,159610,100001,100398,Str
100398,1,AttackLevel398,31566200,159610,160410,100001,100399,Str
100399,1,AttackLevel399,31868100,160410,161210,100001,100400,Str
100400,1,AttackLevel400,32170000,161210,162010,100001,100401,Str
100401,1,AttackLevel401,32491900,162010,162820,100001,100402,Str
100402,1,AttackLevel402,32813800,162820,163630,100001,100403,Str
100403,1,AttackLevel403,33135700,163630,164440,100001,100404,Str
100404,1,AttackLevel404,33457600,164440,165250,100001,100405,Str
100405,1,AttackLevel405,33779500,165250,166060,100001,100406,Str
100406,1,AttackLevel406,34101400,166060,166880,100001,100407,Str
100407,1,AttackLevel407,34423300,166880,167700,100001,100408,Str
100408,1,AttackLevel408,34745200,167700,168520,100001,100409,Str
100409,1,AttackLevel409,35067100,168520,169340,100001,100410,Str
100410,1,AttackLevel410,35389000,169340,170160,100001,100411,Str
100411,1,AttackLevel411,35730900,170160,170990,100001,100412,Str
100412,1,AttackLevel412,36072800,170990,171820,100001,100413,Str
100413,1,AttackLevel413,36414700,171820,172650,100001,100414,Str
100414,1,AttackLevel414,36756600,172650,173480,100001,100415,Str
100415,1,AttackLevel415,37098500,173480,174310,100001,100416,Str
100416,1,AttackLevel416,37440400,174310,175150,100001,100417,Str
100417,1,AttackLevel417,37782300,175150,175990,100001,100418,Str
100418,1,AttackLevel418,38124200,175990,176830,100001,100419,Str
100419,1,AttackLevel419,38466100,176830,177670,100001,100420,Str
100420,1,AttackLevel420,38808000,177670,178510,100001,100421,Str
100421,1,AttackLevel421,39169900,178510,179360,100001,100422,Str
100422,1,AttackLevel422,39531800,179360,180210,100001,100423,Str
100423,1,AttackLevel423,39893700,180210,181060,100001,100424,Str
100424,1,AttackLevel424,40255600,181060,181910,100001,100425,Str
100425,1,AttackLevel425,40617500,181910,182760,100001,100426,Str
100426,1,AttackLevel426,40979400,182760,183620,100001,100427,Str
100427,1,AttackLevel427,41341300,183620,184480,100001,100428,Str
100428,1,AttackLevel428,41703200,184480,185340,100001,100429,Str
100429,1,AttackLevel429,42065100,185340,186200,100001,100430,Str
100430,1,AttackLevel430,42427000,186200,187060,100001,100431,Str
100431,1,AttackLevel431,42808900,187060,187930,100001,100432,Str
100432,1,AttackLevel432,43190800,187930,188800,100001,100433,Str
100433,1,AttackLevel433,43572700,188800,189670,100001,100434,Str
100434,1,AttackLevel434,43954600,189670,190540,100001,100435,Str
100435,1,AttackLevel435,44336500,190540,191410,100001,100436,Str
100436,1,AttackLevel436,44718400,191410,192290,100001,100437,Str
100437,1,AttackLevel437,45100300,192290,193170,100001,100438,Str
100438,1,AttackLevel438,45482200,193170,194050,100001,100439,Str
100439,1,AttackLevel439,45864100,194050,194930,100001,100440,Str
100440,1,AttackLevel440,46246000,194930,195810,100001,100441,Str
